Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
cell_line_1_24h_rep2	(30, 62673.0)	(32, 58808.0)	(34, 70715.0)	(36, 93455.0)	(38, 105115.0)	(40, 100650.0)	(42, 118217.0)	(44, 128570.0)	(46, 134671.0)	(48, 141204.0)	(50, 149220.0)	(52, 164954.0)	(54, 177366.0)	(56, 181705.0)	(58, 183162.0)	(60, 183001.0)	(62, 198355.0)	(64, 210884.0)	(66, 204798.0)	(68, 231355.0)	(70, 256706.0)	(72, 239877.0)	(74, 213154.0)	(76, 213471.0)	(78, 252931.0)	(80, 222625.0)	(82, 222973.0)	(84, 213022.0)	(86, 211565.0)	(88, 205965.0)	(90, 208404.0)	(92, 230577.0)	(94, 438561.0)	(96, 4871.0)	(98, 366.0)	(100, 6861732.0)					
cell_line_1_24h_rep3	(30, 74968.0)	(32, 69461.0)	(34, 83413.0)	(36, 107801.0)	(38, 122204.0)	(40, 119319.0)	(42, 140620.0)	(44, 149958.0)	(46, 155878.0)	(48, 162666.0)	(50, 173775.0)	(52, 182347.0)	(54, 195126.0)	(56, 198799.0)	(58, 194428.0)	(60, 190830.0)	(62, 204455.0)	(64, 216095.0)	(66, 208332.0)	(68, 230610.0)	(70, 249022.0)	(72, 230842.0)	(74, 204529.0)	(76, 202261.0)	(78, 231891.0)	(80, 208049.0)	(82, 205687.0)	(84, 195217.0)	(86, 192097.0)	(88, 186968.0)	(90, 187062.0)	(92, 206068.0)	(94, 380966.0)	(96, 4036.0)	(98, 316.0)	(100, 5912228.0)					
cell_line_1_72h_rep1	(30, 64404.0)	(32, 57305.0)	(34, 67135.0)	(36, 97398.0)	(38, 105551.0)	(40, 97998.0)	(42, 109172.0)	(44, 119398.0)	(46, 126178.0)	(48, 130451.0)	(50, 136052.0)	(52, 161454.0)	(54, 165786.0)	(56, 169611.0)	(58, 172054.0)	(60, 177954.0)	(62, 188683.0)	(64, 198747.0)	(66, 194906.0)	(68, 214502.0)	(70, 235868.0)	(72, 232065.0)	(74, 210690.0)	(76, 217938.0)	(78, 263517.0)	(80, 228012.0)	(82, 225258.0)	(84, 219382.0)	(86, 216101.0)	(88, 212863.0)	(90, 212346.0)	(92, 230156.0)	(94, 462662.0)	(96, 8301.0)	(98, 4126.0)	(100, 6834795.0)					
cell_line_1_72h_rep2	(30, 47991.0)	(32, 44102.0)	(34, 52709.0)	(36, 73941.0)	(38, 81581.0)	(40, 81872.0)	(42, 96172.0)	(44, 104709.0)	(46, 111620.0)	(48, 116639.0)	(50, 126375.0)	(52, 138947.0)	(54, 148069.0)	(56, 153039.0)	(58, 153653.0)	(60, 155737.0)	(62, 165088.0)	(64, 176023.0)	(66, 172865.0)	(68, 187709.0)	(70, 202851.0)	(72, 198318.0)	(74, 182381.0)	(76, 185136.0)	(78, 215545.0)	(80, 193519.0)	(82, 192193.0)	(84, 184720.0)	(86, 181638.0)	(88, 179659.0)	(90, 180612.0)	(92, 190857.0)	(94, 361198.0)	(96, 3742.0)	(98, 256.0)	(100, 5388681.0)					
cell_line_1_72h_rep3	(30, 53067.0)	(32, 46697.0)	(34, 54047.0)	(36, 80029.0)	(38, 85557.0)	(40, 79661.0)	(42, 85971.0)	(44, 94235.0)	(46, 98772.0)	(48, 101699.0)	(50, 105424.0)	(52, 123447.0)	(54, 126431.0)	(56, 130297.0)	(58, 132114.0)	(60, 134555.0)	(62, 143888.0)	(64, 152419.0)	(66, 150408.0)	(68, 164471.0)	(70, 182557.0)	(72, 176186.0)	(74, 159982.0)	(76, 166218.0)	(78, 195758.0)	(80, 173056.0)	(82, 169871.0)	(84, 165648.0)	(86, 163795.0)	(88, 161312.0)	(90, 159591.0)	(92, 171937.0)	(94, 321029.0)	(96, 5508.0)	(98, 2593.0)	(100, 4382919.0)					
cell_line_2_0h_rep1	(30, 119289.0)	(32, 110778.0)	(34, 134749.0)	(36, 188616.0)	(38, 240113.0)	(40, 202825.0)	(42, 222681.0)	(44, 236772.0)	(46, 227700.0)	(48, 225244.0)	(50, 224822.0)	(52, 279203.0)	(54, 263979.0)	(56, 259284.0)	(58, 258869.0)	(60, 253548.0)	(62, 259798.0)	(64, 257310.0)	(66, 239442.0)	(68, 256037.0)	(70, 272477.0)	(72, 262499.0)	(74, 220385.0)	(76, 223834.0)	(78, 278381.0)	(80, 213804.0)	(82, 208523.0)	(84, 194804.0)	(86, 189454.0)	(88, 182191.0)	(90, 179731.0)	(92, 191922.0)	(94, 347836.0)	(96, 6575.0)	(98, 2913.0)	(100, 4850785.0)					
cell_line_2_0h_rep2	(30, 48990.0)	(32, 44655.0)	(34, 55043.0)	(36, 74581.0)	(38, 92568.0)	(40, 81181.0)	(42, 93165.0)	(44, 105214.0)	(46, 105950.0)	(48, 107938.0)	(50, 116122.0)	(52, 143102.0)	(54, 143981.0)	(56, 145846.0)	(58, 152181.0)	(60, 154792.0)	(62, 166211.0)	(64, 174236.0)	(66, 167884.0)	(68, 185323.0)	(70, 200045.0)	(72, 197907.0)	(74, 176649.0)	(76, 178537.0)	(78, 222280.0)	(80, 186597.0)	(82, 187192.0)	(84, 177871.0)	(86, 177543.0)	(88, 172295.0)	(90, 172601.0)	(92, 187949.0)	(94, 373522.0)	(96, 7314.0)	(98, 3557.0)	(100, 5996272.0)					
cell_line_2_0h_rep3	(30, 81713.0)	(32, 74283.0)	(34, 89521.0)	(36, 118812.0)	(38, 146789.0)	(40, 132598.0)	(42, 152109.0)	(44, 166260.0)	(46, 171731.0)	(48, 173985.0)	(50, 186175.0)	(52, 215462.0)	(54, 220728.0)	(56, 225631.0)	(58, 234370.0)	(60, 233719.0)	(62, 243305.0)	(64, 251600.0)	(66, 241210.0)	(68, 259982.0)	(70, 277116.0)	(72, 277965.0)	(74, 246355.0)	(76, 252124.0)	(78, 306646.0)	(80, 256749.0)	(82, 255425.0)	(84, 244174.0)	(86, 242893.0)	(88, 236562.0)	(90, 235844.0)	(92, 248524.0)	(94, 470724.0)	(96, 4732.0)	(98, 402.0)	(100, 7176729.0)					
cell_line_2_24h_rep1	(30, 57415.0)	(32, 52015.0)	(34, 60421.0)	(36, 83106.0)	(38, 94831.0)	(40, 91164.0)	(42, 104708.0)	(44, 116818.0)	(46, 122397.0)	(48, 127460.0)	(50, 138726.0)	(52, 158649.0)	(54, 165081.0)	(56, 171439.0)	(58, 175191.0)	(60, 176322.0)	(62, 185344.0)	(64, 193030.0)	(66, 188887.0)	(68, 208977.0)	(70, 224043.0)	(72, 221334.0)	(74, 197486.0)	(76, 204286.0)	(78, 250548.0)	(80, 206216.0)	(82, 207294.0)	(84, 199821.0)	(86, 197403.0)	(88, 191100.0)	(90, 191906.0)	(92, 203765.0)	(94, 395697.0)	(96, 4122.0)	(98, 303.0)	(100, 5925090.0)					
cell_line_2_24h_rep2	(30, 62075.0)	(32, 56435.0)	(34, 65929.0)	(36, 86518.0)	(38, 98277.0)	(40, 94267.0)	(42, 107295.0)	(44, 117579.0)	(46, 122458.0)	(48, 125521.0)	(50, 135625.0)	(52, 152753.0)	(54, 158523.0)	(56, 163445.0)	(58, 167645.0)	(60, 169387.0)	(62, 178127.0)	(64, 188123.0)	(66, 184794.0)	(68, 205423.0)	(70, 221572.0)	(72, 216044.0)	(74, 194846.0)	(76, 197209.0)	(78, 234214.0)	(80, 204647.0)	(82, 204122.0)	(84, 198135.0)	(86, 195616.0)	(88, 191157.0)	(90, 193004.0)	(92, 205034.0)	(94, 396940.0)	(96, 7279.0)	(98, 3642.0)	(100, 6189113.0)					
cell_line_2_24h_rep3	(30, 72851.0)	(32, 67559.0)	(34, 89400.0)	(36, 133829.0)	(38, 149939.0)	(40, 135963.0)	(42, 149995.0)	(44, 160133.0)	(46, 158141.0)	(48, 157994.0)	(50, 163401.0)	(52, 188769.0)	(54, 185517.0)	(56, 190248.0)	(58, 191561.0)	(60, 192328.0)	(62, 202619.0)	(64, 211412.0)	(66, 208198.0)	(68, 237275.0)	(70, 250159.0)	(72, 227861.0)	(74, 202156.0)	(76, 193179.0)	(78, 229254.0)	(80, 198489.0)	(82, 203655.0)	(84, 187249.0)	(86, 180996.0)	(88, 177113.0)	(90, 180591.0)	(92, 192402.0)	(94, 367612.0)	(96, 7307.0)	(98, 3672.0)	(100, 6019099.0)					
cell_line_2_72h_rep1	(30, 70601.0)	(32, 62850.0)	(34, 72003.0)	(36, 96153.0)	(38, 106668.0)	(40, 99809.0)	(42, 109876.0)	(44, 117927.0)	(46, 119799.0)	(48, 121550.0)	(50, 127557.0)	(52, 150794.0)	(54, 149130.0)	(56, 153336.0)	(58, 158365.0)	(60, 158218.0)	(62, 166926.0)	(64, 174335.0)	(66, 168448.0)	(68, 184912.0)	(70, 197979.0)	(72, 194931.0)	(74, 172774.0)	(76, 177048.0)	(78, 212621.0)	(80, 179527.0)	(82, 178791.0)	(84, 172231.0)	(86, 168395.0)	(88, 163787.0)	(90, 162174.0)	(92, 169108.0)	(94, 319362.0)	(96, 5698.0)	(98, 2809.0)	(100, 4592722.0)					
cell_line_2_72h_rep2	(30, 43357.0)	(32, 40021.0)	(34, 47405.0)	(36, 68290.0)	(38, 75067.0)	(40, 73167.0)	(42, 85752.0)	(44, 95233.0)	(46, 99689.0)	(48, 102572.0)	(50, 114707.0)	(52, 129678.0)	(54, 134970.0)	(56, 141047.0)	(58, 145334.0)	(60, 145981.0)	(62, 156148.0)	(64, 163978.0)	(66, 159283.0)	(68, 177461.0)	(70, 192036.0)	(72, 191000.0)	(74, 171021.0)	(76, 177150.0)	(78, 214492.0)	(80, 182502.0)	(82, 184375.0)	(84, 178610.0)	(86, 175136.0)	(88, 170332.0)	(90, 172447.0)	(92, 179996.0)	(94, 352788.0)	(96, 3661.0)	(98, 300.0)	(100, 5366041.0)					
cell_line_2_72h_rep3	(30, 88933.0)	(32, 81738.0)	(34, 93550.0)	(36, 133430.0)	(38, 147902.0)	(40, 140762.0)	(42, 160957.0)	(44, 176530.0)	(46, 182742.0)	(48, 186708.0)	(50, 206186.0)	(52, 235848.0)	(54, 239949.0)	(56, 248417.0)	(58, 254974.0)	(60, 255336.0)	(62, 271705.0)	(64, 284078.0)	(66, 274370.0)	(68, 304669.0)	(70, 329062.0)	(72, 324068.0)	(74, 290587.0)	(76, 299463.0)	(78, 371052.0)	(80, 307300.0)	(82, 309986.0)	(84, 299881.0)	(86, 293616.0)	(88, 283384.0)	(90, 285000.0)	(92, 298713.0)	(94, 592629.0)	(96, 6082.0)	(98, 526.0)	(100, 9058136.0)					
cell_line_3_0h_rep1	(30, 147947.0)	(32, 136320.0)	(34, 164731.0)	(36, 225305.0)	(38, 261047.0)	(40, 236212.0)	(42, 261546.0)	(44, 274373.0)	(46, 272592.0)	(48, 277000.0)	(50, 271897.0)	(52, 314260.0)	(54, 314253.0)	(56, 301453.0)	(58, 280986.0)	(60, 275515.0)	(62, 280780.0)	(64, 281326.0)	(66, 257722.0)	(68, 271313.0)	(70, 280067.0)	(72, 267138.0)	(74, 235783.0)	(76, 235428.0)	(78, 286086.0)	(80, 231968.0)	(82, 225646.0)	(84, 210241.0)	(86, 208553.0)	(88, 192802.0)	(90, 192076.0)	(92, 199002.0)	(94, 372821.0)	(96, 6897.0)	(98, 3303.0)	(100, 5535717.0)					
cell_line_3_0h_rep2	(30, 90590.0)	(32, 82831.0)	(34, 99339.0)	(36, 138838.0)	(38, 158769.0)	(40, 146174.0)	(42, 167650.0)	(44, 179302.0)	(46, 184186.0)	(48, 192072.0)	(50, 199608.0)	(52, 234847.0)	(54, 244529.0)	(56, 242826.0)	(58, 239568.0)	(60, 238987.0)	(62, 248297.0)	(64, 260385.0)	(66, 246214.0)	(68, 264748.0)	(70, 281613.0)	(72, 277585.0)	(74, 250570.0)	(76, 259153.0)	(78, 317834.0)	(80, 260676.0)	(82, 258251.0)	(84, 243009.0)	(86, 237293.0)	(88, 225227.0)	(90, 222391.0)	(92, 234942.0)	(94, 456579.0)	(96, 4632.0)	(98, 362.0)	(100, 6959920.0)					
cell_line_3_0h_rep3	(30, 71271.0)	(32, 64020.0)	(34, 78300.0)	(36, 115326.0)	(38, 132746.0)	(40, 120354.0)	(42, 141275.0)	(44, 154467.0)	(46, 158382.0)	(48, 167172.0)	(50, 182660.0)	(52, 207249.0)	(54, 216727.0)	(56, 218045.0)	(58, 214211.0)	(60, 214552.0)	(62, 227943.0)	(64, 241136.0)	(66, 230717.0)	(68, 253536.0)	(70, 274638.0)	(72, 267901.0)	(74, 242465.0)	(76, 248251.0)	(78, 311778.0)	(80, 255844.0)	(82, 256458.0)	(84, 239284.0)	(86, 237537.0)	(88, 224832.0)	(90, 230141.0)	(92, 240524.0)	(94, 469696.0)	(96, 5073.0)	(98, 378.0)	(100, 7420659.0)					
cell_line_3_24h_rep1	(30, 56897.0)	(32, 52023.0)	(34, 59814.0)	(36, 84835.0)	(38, 96837.0)	(40, 89634.0)	(42, 100508.0)	(44, 111020.0)	(46, 119374.0)	(48, 125708.0)	(50, 133386.0)	(52, 156842.0)	(54, 162766.0)	(56, 168763.0)	(58, 166871.0)	(60, 168153.0)	(62, 178242.0)	(64, 188809.0)	(66, 185224.0)	(68, 215046.0)	(70, 248187.0)	(72, 219558.0)	(74, 196115.0)	(76, 206872.0)	(78, 253788.0)	(80, 211085.0)	(82, 211690.0)	(84, 210318.0)	(86, 207827.0)	(88, 196779.0)	(90, 196457.0)	(92, 214953.0)	(94, 385140.0)	(96, 3898.0)	(98, 260.0)	(100, 5348138.0)					
cell_line_3_24h_rep2	(30, 47195.0)	(32, 42243.0)	(34, 49055.0)	(36, 69491.0)	(38, 78985.0)	(40, 69092.0)	(42, 76831.0)	(44, 83853.0)	(46, 88614.0)	(48, 92812.0)	(50, 94906.0)	(52, 118893.0)	(54, 119116.0)	(56, 121861.0)	(58, 119846.0)	(60, 122522.0)	(62, 130202.0)	(64, 137538.0)	(66, 135690.0)	(68, 158499.0)	(70, 185295.0)	(72, 165795.0)	(74, 149997.0)	(76, 159454.0)	(78, 199034.0)	(80, 164461.0)	(82, 167331.0)	(84, 166382.0)	(86, 165403.0)	(88, 156888.0)	(90, 158343.0)	(92, 176101.0)	(94, 350100.0)	(96, 6587.0)	(98, 3217.0)	(100, 5339192.0)					
cell_line_3_24h_rep3	(30, 50719.0)	(32, 46559.0)	(34, 51139.0)	(36, 72048.0)	(38, 81887.0)	(40, 76126.0)	(42, 85347.0)	(44, 93698.0)	(46, 102121.0)	(48, 105519.0)	(50, 112338.0)	(52, 129143.0)	(54, 135315.0)	(56, 140187.0)	(58, 137346.0)	(60, 137224.0)	(62, 144277.0)	(64, 151590.0)	(66, 147798.0)	(68, 176490.0)	(70, 204911.0)	(72, 170906.0)	(74, 150945.0)	(76, 159461.0)	(78, 196138.0)	(80, 159008.0)	(82, 158546.0)	(84, 158202.0)	(86, 156667.0)	(88, 147049.0)	(90, 145795.0)	(92, 162494.0)	(94, 281988.0)	(96, 2735.0)	(98, 201.0)	(100, 3831570.0)					
cell_line_3_72h_rep1	(30, 63492.0)	(32, 57751.0)	(34, 66594.0)	(36, 98122.0)	(38, 106159.0)	(40, 103696.0)	(42, 118361.0)	(44, 126691.0)	(46, 135206.0)	(48, 142525.0)	(50, 156898.0)	(52, 170135.0)	(54, 180279.0)	(56, 183125.0)	(58, 178516.0)	(60, 180040.0)	(62, 192380.0)	(64, 203556.0)	(66, 200310.0)	(68, 229834.0)	(70, 263835.0)	(72, 229515.0)	(74, 207521.0)	(76, 215220.0)	(78, 259039.0)	(80, 221014.0)	(82, 221369.0)	(84, 217340.0)	(86, 214465.0)	(88, 203462.0)	(90, 207285.0)	(92, 224868.0)	(94, 412392.0)	(96, 4210.0)	(98, 327.0)	(100, 6340228.0)					
cell_line_3_72h_rep2	(30, 55475.0)	(32, 49769.0)	(34, 55974.0)	(36, 81929.0)	(38, 87282.0)	(40, 82731.0)	(42, 92364.0)	(44, 99572.0)	(46, 105662.0)	(48, 109699.0)	(50, 118201.0)	(52, 133458.0)	(54, 138580.0)	(56, 142591.0)	(58, 137681.0)	(60, 138920.0)	(62, 147743.0)	(64, 154535.0)	(66, 152984.0)	(68, 175402.0)	(70, 205818.0)	(72, 173157.0)	(74, 156025.0)	(76, 162599.0)	(78, 199049.0)	(80, 164708.0)	(82, 165560.0)	(84, 162645.0)	(86, 159738.0)	(88, 151713.0)	(90, 152844.0)	(92, 168762.0)	(94, 314440.0)	(96, 3226.0)	(98, 274.0)	(100, 4878606.0)					
cell_line_3_72h_rep3	(30, 50733.0)	(32, 46057.0)	(34, 53965.0)	(36, 79592.0)	(38, 85773.0)	(40, 81029.0)	(42, 91554.0)	(44, 100812.0)	(46, 108435.0)	(48, 112916.0)	(50, 119800.0)	(52, 144388.0)	(54, 149097.0)	(56, 153962.0)	(58, 152650.0)	(60, 157245.0)	(62, 170462.0)	(64, 181996.0)	(66, 183084.0)	(68, 217888.0)	(70, 269872.0)	(72, 218606.0)	(74, 197713.0)	(76, 207705.0)	(78, 254998.0)	(80, 218210.0)	(82, 221837.0)	(84, 219933.0)	(86, 218724.0)	(88, 208412.0)	(90, 213967.0)	(92, 242420.0)	(94, 451576.0)	(96, 8626.0)	(98, 4270.0)	(100, 7201086.0)					
