Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
cell_line_1_0h_rep3 - polya	(1, 0.006421025319806374)	(2, 0.01279165012689841)	(3, 0.01845666775598975)	(4, 0.02229718682482213)	(5, 0.025956264047882906)	(6, 0.028708132042085638)	(7, 0.032911534802461236)	(8, 0.03383890423640502)	(9, 0.033919545056747956)	(10, 0.03524507854113498)	(12, 0.036988936281051)	(14, 0.04021960914603992)	(16, 0.044831256059401636)	(18, 0.0502896315863642)	(20, 0.0557832874722268)	(22, 0.06057637623136013)	(24, 0.06459833714596412)	(26, 0.06809109267706759)	(28, 0.07214329389930019)	(30, 0.07657853901816172)	(32, 0.0820117142887671)	(34, 0.08625543745931419)	(36, 0.10300856788555939)	(38, 0.12108219174492019)	(40, 0.12723105429606912)	(42, 0.13177214049163077)	(44, 0.1367869915067072)	(46, 0.14294089410912758)	(48, 0.14933167912130535)	(50, 0.15311171757488054)	(52, 0.15653391238818393)	(54, 0.16148828278800315)	(56, 0.16649809375180813)	(58, 0.17163390599739892)	(60, 0.17647235521797516)	(62, 0.18108400213133688)	(64, 0.18579141001885585)	(66, 0.19032241611187461)	(68, 0.19476774133327904)	(70, 0.19927354716994064)	(72, 0.20420775736467411)	(74, 0.2089806859187217)	(76, 0.21425257954864124)	(78, 0.22069376507353333)	(80, 0.2273365526492828)	(82, 0.23279492817624536)	(84, 0.23846498585660814)	(86, 0.24360583815347037)	(88, 0.24803100316978904)
cell_line_1_24h_rep1 - polya	(1, 0.00497396032595308)	(2, 0.0100013220664486)	(3, 0.014883737110328924)	(4, 0.01832431396156334)	(5, 0.021307164402433975)	(6, 0.024175583240713665)	(7, 0.028150174237372493)	(8, 0.02885202139993029)	(9, 0.02895119545550911)	(10, 0.03004973884038218)	(12, 0.032128579620784345)	(14, 0.03546998241643995)	(16, 0.04037909816759149)	(18, 0.048488484404536465)	(20, 0.0553581949467462)	(22, 0.06086235503137066)	(24, 0.0654205472012433)	(26, 0.06949431225348095)	(28, 0.07428136762853549)	(30, 0.0798045996469251)	(32, 0.0866552382553697)	(34, 0.09211362569895776)	(36, 0.1176776457177749)	(38, 0.14562947184398975)	(40, 0.15226650479426457)	(42, 0.1565462467311659)	(44, 0.16163463865970995)	(46, 0.16739817704354054)	(48, 0.17438613357509425)	(50, 0.17861247409745315)	(52, 0.1825641787735938)	(54, 0.18772122966369237)	(56, 0.19268374682938638)	(58, 0.19739832885613331)	(60, 0.2024104330496167)	(62, 0.2069609964459833)	(64, 0.21210278978906977)	(66, 0.21675252724101515)	(68, 0.22108567059245893)	(70, 0.22690261039083198)	(72, 0.2325555315588247)	(74, 0.23799103268189456)	(76, 0.24393766162987068)	(78, 0.25095613325544863)	(80, 0.2584208881311313)	(82, 0.2643904033996256)	(84, 0.27031033164033047)	(86, 0.2759518096480641)	(88, 0.28073123624961255)
cell_line_1_24h_rep2 - polya	(1, 0.002861423804161363)	(2, 0.005908956473634035)	(3, 0.008351635330844955)	(4, 0.010189460375794122)	(5, 0.012120339853398944)	(6, 0.013973673970457389)	(7, 0.016338807467121932)	(8, 0.017300369937897023)	(9, 0.01738566983449804)	(10, 0.019118808642709595)	(12, 0.021072951728478333)	(14, 0.02453147480884681)	(16, 0.029250109998093937)	(18, 0.03548863425405008)	(20, 0.04148676789231245)	(22, 0.047438374314246995)	(24, 0.05203681419464723)	(26, 0.056542199642391815)	(28, 0.061423680088786334)	(30, 0.06760016805630537)	(32, 0.07473434122657219)	(34, 0.08092246099817318)	(36, 0.11627926813929443)	(38, 0.15567231129685466)	(40, 0.1647761366249995)	(42, 0.16990188495711508)	(44, 0.17539209648379867)	(46, 0.18182060687309345)	(48, 0.18938127952636535)	(50, 0.1942666372407872)	(52, 0.19910159047085388)	(54, 0.2042932523594339)	(56, 0.20976020027795358)	(58, 0.21543264340192117)	(60, 0.22112835013405266)	(62, 0.22695588397911298)	(64, 0.23281831323641922)	(66, 0.23812241589779148)	(68, 0.24284492835506594)	(70, 0.24852900328311547)	(72, 0.2544999960451866)	(74, 0.2597459396861491)	(76, 0.2654881736346084)	(78, 0.27281233293821383)	(80, 0.2799930333248085)	(82, 0.2856615991807488)	(84, 0.29145811488159057)	(86, 0.2969754672844654)	(88, 0.3012792347947894)
cell_line_1_24h_rep3 - polya	(1, 0.0031974423132985885)	(2, 0.006486717173454316)	(3, 0.009475449152986678)	(4, 0.011696127104259327)	(5, 0.013925153468882625)	(6, 0.015978863153142293)	(7, 0.018583568118544797)	(8, 0.019635468200726577)	(9, 0.01971060392088242)	(10, 0.021484641757895342)	(12, 0.023667751849090073)	(14, 0.027520544610414616)	(16, 0.03331016926908974)	(18, 0.039951332089531055)	(20, 0.046771985797011334)	(22, 0.05341314861745266)	(24, 0.05903163080243947)	(26, 0.06389875578586787)	(28, 0.06968420623786767)	(30, 0.07698071950633495)	(32, 0.08488249274272427)	(34, 0.09214561235778895)	(36, 0.14065824233841062)	(38, 0.1953862660585905)	(40, 0.20648965581495377)	(42, 0.21204135069313537)	(44, 0.21750538723113516)	(46, 0.22432186673194013)	(48, 0.2316016831737061)	(50, 0.23657316332401762)	(52, 0.24124410059370577)	(54, 0.24681249229858868)	(56, 0.2518215403089781)	(58, 0.2571645248533935)	(60, 0.26241150264427643)	(62, 0.26765013202180876)	(64, 0.2730974717331073)	(66, 0.2773969046086915)	(68, 0.28174225375770434)	(70, 0.28663024977450935)	(72, 0.2918229628786131)	(74, 0.2969113208158337)	(76, 0.30267590023445684)	(78, 0.30902904279430077)	(80, 0.31561594092796286)	(82, 0.3211759842194951)	(84, 0.32682786005788456)	(86, 0.3319078695817545)	(88, 0.3356479587628453)
cell_line_1_72h_rep1 - polya	(1, 0.005012209821440808)	(2, 0.009703324951195564)	(3, 0.014425766392334326)	(4, 0.01786382906672888)	(5, 0.02112959702851141)	(6, 0.023870649274611848)	(7, 0.027708122419152468)	(8, 0.028553932826520606)	(9, 0.02859309071575061)	(10, 0.02963469056926878)	(12, 0.0316474060756911)	(14, 0.03517944768423767)	(16, 0.0403287101179835)	(18, 0.047228330200310614)	(20, 0.052624287336205486)	(22, 0.05719401300934722)	(24, 0.060851359863429814)	(26, 0.06497468559934948)	(28, 0.06966580072910424)	(30, 0.07513224206561311)	(32, 0.08118605174057208)	(34, 0.08610036683893789)	(36, 0.10450849056596385)	(38, 0.12312023531698585)	(40, 0.1290056660682558)	(42, 0.1332699602054035)	(44, 0.13783968587854523)	(46, 0.14281665359967904)	(48, 0.1499747157509242)	(50, 0.15380435731761882)	(52, 0.15709362001293933)	(54, 0.16190220881038409)	(56, 0.1662643976706068)	(58, 0.17046603918498648)	(60, 0.17507492274735825)	(62, 0.17974645893249797)	(64, 0.1840616583256447)	(66, 0.18795003672618432)	(68, 0.19223782559687)	(70, 0.19740666697523085)	(72, 0.2026773188655897)	(74, 0.20729403400580743)	(76, 0.21230232803832522)	(78, 0.21910405339757733)	(80, 0.22606241031374946)	(82, 0.23142704113826032)	(84, 0.23696396667538322)	(86, 0.24199575544143903)	(88, 0.24599769172074568)
cell_line_1_72h_rep2 - polya	(1, 0.0035569968476954353)	(2, 0.006720902399553908)	(3, 0.009424603507505696)	(4, 0.011543461467992733)	(5, 0.013777370539456444)	(6, 0.015972929240594597)	(7, 0.018906732570499726)	(8, 0.01980796627315032)	(9, 0.019865491828638657)	(10, 0.021715897196846794)	(12, 0.02342248867633409)	(14, 0.026840465431599382)	(16, 0.0317589004258521)	(18, 0.037209446808371925)	(20, 0.04278463189444981)	(22, 0.048115333369702265)	(24, 0.05254000734601344)	(26, 0.056768135674406126)	(28, 0.06139894289121717)	(30, 0.06700289075503921)	(32, 0.07369023658055826)	(34, 0.07919830851856642)	(36, 0.10509918987718965)	(38, 0.1326587247523932)	(40, 0.1397727184477841)	(42, 0.14464800927542057)	(44, 0.14977737130646385)	(46, 0.15525188667043716)	(48, 0.1625720136063279)	(50, 0.16693436823086003)	(52, 0.17085569359664826)	(54, 0.17572619062799402)	(56, 0.18053916210385146)	(58, 0.1849925988579068)	(60, 0.1893022217232413)	(62, 0.19394261653263373)	(64, 0.19891378328608406)	(66, 0.20328093170690692)	(68, 0.20743715309093919)	(70, 0.2123651756777733)	(72, 0.21767190817157228)	(74, 0.22262869353615056)	(76, 0.22802650815947273)	(78, 0.23484808028113122)	(80, 0.24114233481081332)	(82, 0.2463388099899263)	(84, 0.2515592541504928)	(86, 0.25620444275617593)	(88, 0.25992922247404565)
cell_line_1_72h_rep3 - polya	(1, 0.005426265755128916)	(2, 0.010234633753462615)	(3, 0.015189050312493365)	(4, 0.018357180629152484)	(5, 0.021356793375776544)	(6, 0.023884556926302435)	(7, 0.02712009427097558)	(8, 0.027951447616481873)	(9, 0.028052558158502907)	(10, 0.028906380513347207)	(12, 0.030428655895997248)	(14, 0.03307438174554768)	(16, 0.03735472802443819)	(18, 0.0447414148443083)	(20, 0.04993175600138813)	(22, 0.05392000515888454)	(24, 0.05683535912049108)	(26, 0.060222562278195765)	(28, 0.06434000823938572)	(30, 0.0688057238453148)	(32, 0.07425445860978172)	(34, 0.07835505281396818)	(36, 0.0934092890704335)	(38, 0.10968246908348574)	(40, 0.11460879938084398)	(42, 0.11794544726753817)	(44, 0.12191122741569656)	(46, 0.12661848487200922)	(48, 0.132982831767)	(50, 0.13611725856965207)	(52, 0.13921798185829717)	(54, 0.14311073772610705)	(56, 0.14677318624820235)	(58, 0.15050304179831164)	(60, 0.15422728009608647)	(62, 0.15785602510417474)	(64, 0.16205772985038225)	(66, 0.16547301926975944)	(68, 0.16947812018425934)	(70, 0.17414043962189601)	(72, 0.17876905554552563)	(74, 0.18295952578706412)	(76, 0.1875038829256762)	(78, 0.19341323238157232)	(80, 0.19971578950088353)	(82, 0.2049566859289739)	(84, 0.21056832101114137)	(86, 0.21533736824313354)	(88, 0.2191290135689224)
cell_line_2_0h_rep1 - polya	(1, 0.0063399449165402)	(2, 0.010962651864672207)	(3, 0.015756268752787968)	(4, 0.019817414469544783)	(5, 0.02364254169775261)	(6, 0.02685727628316131)	(7, 0.030845174882782232)	(8, 0.031675308876989036)	(9, 0.03173227885698362)	(10, 0.032558343566905096)	(12, 0.03432034366245189)	(14, 0.03807222377352382)	(16, 0.043232076247319055)	(18, 0.05337680197064044)	(20, 0.0622885345555076)	(22, 0.06964580054337968)	(24, 0.07518002717142502)	(26, 0.079827149825269)	(28, 0.08479574593765385)	(30, 0.09043577395711772)	(32, 0.09658446251224753)	(34, 0.10236284619741254)	(36, 0.12963518947767724)	(38, 0.15929213334914388)	(40, 0.16686100211985294)	(42, 0.17216734882791998)	(44, 0.17775854543595992)	(46, 0.18387061043252179)	(48, 0.19066224590473335)	(50, 0.1946257287986423)	(52, 0.198300292508293)	(54, 0.20410309189916997)	(56, 0.20840839467304645)	(58, 0.21330781295258072)	(60, 0.2178857577735741)	(62, 0.2222846540860131)	(64, 0.22744043727552302)	(66, 0.2318678185779593)	(68, 0.2365190105160886)	(70, 0.2416259622941746)	(72, 0.24684685403224974)	(74, 0.25203926078032757)	(76, 0.25675556126702215)	(78, 0.2631402683107009)	(80, 0.270237100104312)	(82, 0.27539288329382194)	(84, 0.28041031081763074)	(86, 0.2849597706486268)	(88, 0.2885855029468536)
cell_line_2_0h_rep2 - polya	(1, 0.005730113999205983)	(2, 0.010421701772800707)	(3, 0.015605223021684975)	(4, 0.019431372273936983)	(5, 0.022993335030200162)	(6, 0.02637310020302277)	(7, 0.030335897642855204)	(8, 0.03136531398929444)	(9, 0.03148374241853081)	(10, 0.032576927919174235)	(12, 0.034581101337020526)	(14, 0.03790165229522495)	(16, 0.042880201262738574)	(18, 0.050168104600361446)	(20, 0.05583900438494924)	(22, 0.06106807502969365)	(24, 0.06529961390510093)	(26, 0.06972701518270683)	(28, 0.07404965284983439)	(30, 0.07880500977763331)	(32, 0.08331439996778747)	(34, 0.08762337281615698)	(36, 0.10510978588686587)	(38, 0.1239216863771049)	(40, 0.13031226661628298)	(42, 0.13535913967758678)	(44, 0.14098449006631447)	(46, 0.1473477406679764)	(48, 0.15400706234272932)	(50, 0.15873053469342613)	(52, 0.16300762296469357)	(54, 0.1683733417970184)	(56, 0.17325623703322574)	(58, 0.17841242864459392)	(60, 0.18408788336876775)	(62, 0.1895538108719849)	(64, 0.19544334775670136)	(66, 0.2003581275700108)	(68, 0.205195473410358)	(70, 0.2108071589803276)	(72, 0.2170337613944091)	(74, 0.2228504192457494)	(76, 0.2288173901034281)	(78, 0.23597320019305656)	(80, 0.244404393366769)	(82, 0.2505034574724422)	(84, 0.25646587339053484)	(86, 0.2620684490813324)	(88, 0.26642752626514815)
cell_line_2_0h_rep3 - polya	(1, 0.0030168020546581828)	(2, 0.0056086042817548205)	(3, 0.008179504877987775)	(4, 0.009997946763128157)	(5, 0.01178155259682907)	(6, 0.01361392890254524)	(7, 0.015669255937474025)	(8, 0.01667950142921868)	(9, 0.016756140742385517)	(10, 0.018445689237199858)	(12, 0.020298967173779714)	(14, 0.02400552304693942)	(16, 0.02944691428178478)	(18, 0.0375706814774694)	(20, 0.044314941036150975)	(22, 0.0500419878928)	(24, 0.054650797498242004)	(26, 0.05915509894936559)	(28, 0.06389628555027758)	(30, 0.0687942343826672)	(32, 0.07394648639056495)	(34, 0.07881656638180298)	(36, 0.09550303502130955)	(38, 0.11414380614657046)	(40, 0.1209890902544265)	(42, 0.12646183393556737)	(44, 0.1324919544397398)	(46, 0.13961592695911162)	(48, 0.14716489930604496)	(50, 0.1520210448767072)	(52, 0.15702350186341524)	(54, 0.16301530271100423)	(56, 0.16815710390347013)	(58, 0.1743021833773928)	(60, 0.18021734491181496)	(62, 0.18587820327072901)	(64, 0.19186652051317404)	(66, 0.19735668222003466)	(68, 0.20262040959253874)	(70, 0.20837532529033934)	(72, 0.21468065060088357)	(74, 0.22070032028962416)	(76, 0.2267757276606679)	(78, 0.23447797863393488)	(80, 0.24267141793249847)	(82, 0.24876424332926195)	(84, 0.25486751954145725)	(86, 0.2604517385872044)	(88, 0.2649699744589038)
cell_line_2_24h_rep1 - polya	(1, 0.0036023822710583827)	(2, 0.0067435900001696775)	(3, 0.009649859755081513)	(4, 0.0120514479357871)	(5, 0.014191993922937735)	(6, 0.016175914593955395)	(7, 0.01889945481337876)	(8, 0.019621671548880802)	(9, 0.019673879987591795)	(10, 0.020944285329559244)	(12, 0.022514889194114894)	(14, 0.025473367387737717)	(16, 0.02964134107816517)	(18, 0.03524069612991896)	(20, 0.0402266020268186)	(22, 0.04460340947209002)	(24, 0.048244948072181645)	(26, 0.05231285558841303)	(28, 0.05671576725303994)	(30, 0.061827843543491155)	(32, 0.06690076350490912)	(34, 0.07111659493082165)	(36, 0.09008566099581505)	(38, 0.11073409850601201)	(40, 0.11676852388035741)	(42, 0.12177618329338663)	(44, 0.1270187806806153)	(46, 0.13284002159689082)	(48, 0.13993166785513378)	(50, 0.14396476974555783)	(52, 0.14797176741662638)	(54, 0.15312300003611085)	(56, 0.15763467928138564)	(58, 0.16266409221054445)	(60, 0.16754993193324802)	(62, 0.17247492798498487)	(64, 0.17749563950769182)	(66, 0.18232492008845852)	(68, 0.1868061444111519)	(70, 0.192026988282251)	(72, 0.19766985036626394)	(74, 0.20266880837284135)	(76, 0.2075459466890931)	(78, 0.21478116615379128)	(80, 0.2215943674055756)	(82, 0.22693703096700035)	(84, 0.2325320353155282)	(86, 0.23787034817372704)	(88, 0.24176857826414772)
cell_line_2_24h_rep2 - polya	(1, 0.006474084462257157)	(2, 0.011519936288851241)	(3, 0.017421017238596865)	(4, 0.021816894931595783)	(5, 0.025750948898092863)	(6, 0.029377120380255393)	(7, 0.03391838702419007)	(8, 0.03480782531226767)	(9, 0.03485913905965676)	(10, 0.036120602016305285)	(12, 0.03815177118379019)	(14, 0.04135888039560846)	(16, 0.04601132682555284)	(18, 0.052583762636972425)	(20, 0.05782204101627561)	(22, 0.06223929943735332)	(24, 0.06627598089862857)	(26, 0.06985939092463353)	(28, 0.07392172925960336)	(30, 0.07865969860186287)	(32, 0.08330786888619149)	(34, 0.08751132002648132)	(36, 0.10539416099158001)	(38, 0.12498318405736603)	(40, 0.13138457404415532)	(42, 0.13614820026010938)	(44, 0.140937483349758)	(46, 0.14642377817477514)	(48, 0.152585704007082)	(50, 0.15645133964372693)	(52, 0.1601373771645101)	(54, 0.16503356389455265)	(56, 0.1697458763631176)	(58, 0.17457792090892382)	(60, 0.17906359765985366)	(62, 0.18384432845827076)	(64, 0.18889018028486484)	(66, 0.19320053506554863)	(68, 0.1977802870200251)	(70, 0.20327513413627374)	(72, 0.20835519512779388)	(74, 0.21306323145074313)	(76, 0.21810908327733722)	(78, 0.22459599617644163)	(80, 0.2313608585405703)	(82, 0.23655637546371594)	(84, 0.24210681247296942)	(86, 0.24721680648379984)	(88, 0.25130907783808)
cell_line_2_24h_rep3 - polya	(1, 0.002792526238559965)	(2, 0.00580878603332503)	(3, 0.009197935088431931)	(4, 0.011733582058756409)	(5, 0.01421951046103531)	(6, 0.017086614551663642)	(7, 0.0201194472024439)	(8, 0.020608346454892082)	(9, 0.020649778594930064)	(10, 0.021142821061382044)	(12, 0.022166194920320195)	(14, 0.024395244054363607)	(16, 0.027245775288976745)	(18, 0.03180745390715853)	(20, 0.036903607131830274)	(22, 0.04257152388902617)	(24, 0.047253355713318096)	(26, 0.05186475289954545)	(28, 0.05655901436584878)	(30, 0.06267854144945867)	(32, 0.06858676461887486)	(34, 0.07391493782775929)	(36, 0.10268127265612997)	(38, 0.13599271324666723)	(40, 0.1446934626546434)	(42, 0.15117759257058752)	(44, 0.1577735892646342)	(46, 0.16530595232353928)	(48, 0.1734017924869609)	(50, 0.17851866178165163)	(52, 0.18361895822032717)	(54, 0.1896556210238611)	(56, 0.19511223386686327)	(58, 0.20177452198497076)	(60, 0.20790647871059204)	(62, 0.21399700329617533)	(64, 0.22030297500995616)	(66, 0.22569329642889757)	(68, 0.23116648212791494)	(70, 0.237344014207578)	(72, 0.2441223123177918)	(74, 0.2500056762031852)	(76, 0.256825406453437)	(78, 0.26587418583773215)	(80, 0.274376060973526)	(82, 0.28118750479577026)	(84, 0.2878497929138777)	(86, 0.29408118677559014)	(88, 0.29881688038193144)
cell_line_2_72h_rep1 - polya	(1, 0.006452808289140587)	(2, 0.011577707476978932)	(3, 0.017221321157513465)	(4, 0.021256919910689814)	(5, 0.024555944084237575)	(6, 0.02812469979398735)	(7, 0.032035807068916615)	(8, 0.0329902417354776)	(9, 0.03302136460503937)	(10, 0.03413141361940922)	(12, 0.036029908662677274)	(14, 0.03898658127104554)	(16, 0.04358757882126074)	(18, 0.051176371849405974)	(20, 0.05706378134150772)	(22, 0.06130167874683558)	(24, 0.06476669155804612)	(26, 0.06808646431130173)	(28, 0.07172265290510202)	(30, 0.07604873177418822)	(32, 0.08017251199112294)	(34, 0.08399543780229385)	(36, 0.09589993540967137)	(38, 0.10880036484302558)	(40, 0.11350510529178001)	(42, 0.11728134679860827)	(44, 0.12164892282711018)	(46, 0.12638997329035334)	(48, 0.13156155678253434)	(50, 0.1349124524053517)	(52, 0.1385330795643711)	(54, 0.14326375573776035)	(56, 0.14772470037494756)	(58, 0.1519677849252024)	(60, 0.15671402253337252)	(62, 0.16063550409815575)	(64, 0.16467628999625902)	(66, 0.16829691715527845)	(68, 0.17213021725630326)	(70, 0.17667415621232185)	(72, 0.18152413671903123)	(74, 0.18589171274753316)	(76, 0.19039415454413605)	(78, 0.19608445252901324)	(80, 0.20147908325305364)	(82, 0.2061371393974654)	(84, 0.2112931614548655)	(86, 0.21545325168628893)	(88, 0.2189182644974995)
cell_line_2_72h_rep2 - polya	(1, 0.003253873221780537)	(2, 0.005726421262647207)	(3, 0.00810006738187921)	(4, 0.010216568504861079)	(5, 0.012046254055102415)	(6, 0.013885829797507217)	(7, 0.016150683802941088)	(8, 0.01703091090548962)	(9, 0.017110032442797355)	(10, 0.018722133765442423)	(12, 0.020279839031188424)	(14, 0.023390304466598698)	(16, 0.0280930908403271)	(18, 0.03373050037350311)	(20, 0.03856185924535658)	(22, 0.042962994758099254)	(24, 0.04676082854887045)	(26, 0.050519101570987796)	(28, 0.05424770401661473)	(30, 0.05891092962168927)	(32, 0.06307470052250874)	(34, 0.06680330296813568)	(36, 0.07906714125083436)	(38, 0.0915485637611293)	(40, 0.09679531070384839)	(42, 0.10163655976786531)	(44, 0.10697726353613732)	(46, 0.11278280633609228)	(48, 0.11957736835239388)	(50, 0.12362245694725174)	(52, 0.1278554591932155)	(54, 0.13301319440646336)	(56, 0.13763685924288402)	(58, 0.1426017357089443)	(60, 0.14778914149868258)	(62, 0.1529270963276035)	(64, 0.15816395307815911)	(66, 0.1627876179145798)	(68, 0.1672827102528754)	(70, 0.17274704142319075)	(72, 0.1781421412483618)	(74, 0.18345317444014342)	(76, 0.18882849388098755)	(78, 0.1961027302172173)	(80, 0.20365883703010584)	(82, 0.20921712502597412)	(84, 0.21505233840241944)	(86, 0.22048205390016268)	(88, 0.22396340154170294)
cell_line_2_72h_rep3 - polya	(1, 0.00391494092163599)	(2, 0.006911776228906018)	(3, 0.010081839010584718)	(4, 0.012460829659130482)	(5, 0.014845594556823202)	(6, 0.01682616201422902)	(7, 0.01998467629761381)	(8, 0.02085081366965717)	(9, 0.020925878908567595)	(10, 0.022124035606560913)	(12, 0.023824551980339375)	(14, 0.026841597159623747)	(16, 0.03098173379799101)	(18, 0.03692343617020846)	(20, 0.041984565547515174)	(22, 0.046673255854843235)	(24, 0.05063439076965487)	(26, 0.05454933169129086)	(28, 0.058810727561744186)	(30, 0.06367264534348092)	(32, 0.06837288414910289)	(34, 0.07234268043763496)	(36, 0.08598145692274442)	(38, 0.09932574670135913)	(40, 0.10495563961964097)	(42, 0.1098319930242451)	(44, 0.11487002540496397)	(46, 0.12062983892905232)	(48, 0.12791694135251047)	(50, 0.1322562895864477)	(52, 0.1362058760029654)	(54, 0.14157881483420773)	(56, 0.14644361974051795)	(58, 0.15107745468094994)	(60, 0.15594514671183363)	(62, 0.16084748423759904)	(64, 0.16648315140502784)	(66, 0.17133640781304413)	(68, 0.17605108224153349)	(70, 0.18177047602159313)	(72, 0.18758514491257758)	(74, 0.19289167987862993)	(76, 0.19826173158529875)	(78, 0.20583754646610466)	(80, 0.21311887464041585)	(82, 0.21867370231978728)	(84, 0.22453167807937385)	(86, 0.22992193965805707)	(88, 0.23453267760190122)
cell_line_3_0h_rep1 - polya	(1, 0.005648977607568789)	(2, 0.010333495623601443)	(3, 0.015148542005405904)	(4, 0.019006380371550443)	(5, 0.022218828484712155)	(6, 0.025184723018082673)	(7, 0.029622687454324136)	(8, 0.030985983719051906)	(9, 0.031080254205442654)	(10, 0.03260308513944708)	(12, 0.035239032970449974)	(14, 0.040583444391217874)	(16, 0.0473237841681565)	(18, 0.05964421158183991)	(20, 0.07154767338264115)	(22, 0.08304142114643645)	(24, 0.09047066063161516)	(26, 0.09690643422175291)	(28, 0.10429216425167434)	(30, 0.11432471947641301)	(32, 0.12597437612154685)	(34, 0.13616646601556215)	(36, 0.2068004408378007)	(38, 0.28851482359889036)	(40, 0.3038446550012016)	(42, 0.3105849947781402)	(44, 0.3174558629208506)	(46, 0.32508452074262517)	(48, 0.33290897111305745)	(50, 0.33781103640537646)	(52, 0.34257894754398555)	(54, 0.3491343721360808)	(56, 0.35463831822612535)	(58, 0.3600951290729745)	(60, 0.3658927639860056)	(62, 0.3711465307083209)	(64, 0.3767447472847562)	(66, 0.38147640054398424)	(68, 0.38577295925063954)	(70, 0.3910521064885215)	(72, 0.3960955775104267)	(74, 0.4007075797676972)	(76, 0.4064907115289759)	(78, 0.4142027624733269)	(80, 0.42196557444881133)	(82, 0.4272483474746315)	(84, 0.4334484448487923)	(86, 0.43869495999523134)	(88, 0.44268695251508583)
cell_line_3_0h_rep2 - polya	(1, 0.0036516196013086457)	(2, 0.006696958848964902)	(3, 0.009679579439346773)	(4, 0.012216200689110794)	(5, 0.014383478734925658)	(6, 0.016362600808917365)	(7, 0.01881559718231554)	(8, 0.019603064768093932)	(9, 0.01965184594597401)	(10, 0.02144281204814256)	(12, 0.023512527738197272)	(14, 0.02743592818769492)	(16, 0.03247084261888862)	(18, 0.0408786270635048)	(20, 0.04816096004703063)	(22, 0.05464537233523234)	(24, 0.059781333492034766)	(26, 0.06457931077352523)	(28, 0.07049925514625746)	(30, 0.07745057299416849)	(32, 0.08640888787485984)	(34, 0.093367174462468)	(36, 0.12905409045159316)	(38, 0.1711801219208885)	(40, 0.18018024923976278)	(42, 0.18596081881855192)	(44, 0.19195045058825572)	(46, 0.1981770195076627)	(48, 0.2049088220551134)	(50, 0.20971028370645245)	(52, 0.21406226164732506)	(54, 0.21990903425323716)	(56, 0.22507983910852536)	(58, 0.23052242481200258)	(60, 0.23594061992653972)	(62, 0.24142501806819985)	(64, 0.24686411940182845)	(66, 0.2520140180380252)	(68, 0.25651930825223523)	(70, 0.26185387849040653)	(72, 0.26736615159085525)	(74, 0.2729376589787298)	(76, 0.2790910561313167)	(78, 0.28752671553472153)	(80, 0.2957777033361517)	(82, 0.3018335381329784)	(84, 0.30808101327147697)	(86, 0.3134364897287397)	(88, 0.3175515305199091)
cell_line_3_0h_rep3 - polya	(1, 0.0035017845149693614)	(2, 0.006361807724406489)	(3, 0.009221830933843617)	(4, 0.011461019836841954)	(5, 0.01370020873984029)	(6, 0.01577895731645557)	(7, 0.018715712855901987)	(8, 0.01937142549416318)	(9, 0.01945513349053695)	(10, 0.021174635249381468)	(12, 0.02319060282871642)	(14, 0.02704465849509206)	(16, 0.031774160290210046)	(18, 0.03824757867644822)	(20, 0.04466519173177056)	(22, 0.05065728913885957)	(24, 0.05575650125129503)	(26, 0.06043368554867941)	(28, 0.06580494864932962)	(30, 0.07235161153239486)	(32, 0.08093516899388847)	(34, 0.08776434636471518)	(36, 0.1303368381871415)	(38, 0.18059302651004341)	(40, 0.19025083659166708)	(42, 0.19536051220364928)	(44, 0.20108753428888804)	(46, 0.20728541385372923)	(48, 0.2141076155581914)	(50, 0.2192312425029026)	(52, 0.22376891347299732)	(54, 0.22988308504146476)	(56, 0.23568335162353055)	(58, 0.2415498870360589)	(60, 0.2472908604540266)	(62, 0.2530492730379055)	(64, 0.2586751479608592)	(66, 0.26388248290194416)	(68, 0.2686922048602537)	(70, 0.2746075699373334)	(72, 0.28094496282946424)	(74, 0.28675220507789445)	(76, 0.29339652729006244)	(78, 0.3033996328567279)	(80, 0.3131062726029029)	(82, 0.31937390883138894)	(84, 0.32574618005534217)	(86, 0.33180454629289374)	(88, 0.33658287775256307)
